object,count
poster,69
book,60
building,35
man,27
clothing,16
person,13
boat,9
bookcase,8
plant,8
shelf,7
window,7
car,5
bottle,5
house,5
food,4
woman,4
human body,3
whiteboard,3
billboard,3
wine,3
convenience store,3
snack,3
table,3
dress,2
picture frame,2
airplane,2
skyscraper,2
land vehicle,2
laptop,2
mammal,2
clock,2
ambulance,2
beer,2
bicycle,2
box,2
van,2
traffic sign,1
mobile phone,1
wine glass,1
sunglasses,1
sports uniform,1
toy,1
rugby ball,1
scoreboard,1
tower,1
tin can,1
television,1
tablet computer,1
tent,1
aircraft,1
limousine,1
kitchen appliance,1
backpack,1
bed,1
boy,1
bus,1
camera,1
cheese,1
cocktail,1
coffee cup,1
coffee table,1
coin,1
computer monitor,1
curtain,1
desk,1
door,1
drink,1
flower,1
fountain,1
furniture,1
girl,1
goggles,1
home appliance,1
ipod,1
juice,1
helicopter,1
