object,count
bottle,132
wine,97
building,80
poster,48
book,35
drink,21
house,16
clothing,14
woman,13
person,10
man,9
beer,9
whiteboard,5
table,4
window,3
wine glass,3
cocktail,3
convenience store,3
billboard,3
toy,3
shelf,3
wine rack,3
personal care,2
snack,2
dress,2
girl,2
picture frame,2
box,2
street light,1
suit,1
tent,1
tin can,1
skyscraper,1
train,1
truck,1
plant,1
barrel,1
picnic basket,1
door,1
bicycle,1
billiard table,1
boat,1
bookcase,1
car,1
chair,1
dairy,1
flower,1
palm tree,1
food,1
fruit,1
furniture,1
home appliance,1
land vehicle,1
mirror,1
office supplies,1
mammal,1
