object,count
poster,49
building,13
book,13
person,10
man,10
bottle,10
clothing,9
woman,8
wine,4
plant,4
beer,4
billboard,4
house,4
bus,3
bookcase,3
mammal,3
land vehicle,2
suit,2
plate,2
mobile phone,2
auto part,2
human body,2
human arm,2
tower,2
shelf,2
flower,2
girl,2
wine glass,1
toy,1
tablet computer,1
traffic sign,1
table,1
whiteboard,1
window,1
airplane,1
ring binder,1
platter,1
plastic bag,1
palm tree,1
houseplant,1
fruit,1
food,1
door,1
convenience store,1
computer monitor,1
car,1
laptop,1
