object,count
poster,37
book,28
clothing,18
building,10
woman,10
man,9
car,6
plant,5
person,5
bottle,4
boy,4
girl,4
picture frame,4
tablet computer,3
toy,3
furniture,3
mug,2
coffee cup,2
pillow,2
bus,2
window,2
wine,2
sculpture,1
shelf,1
teddy bear,1
snack,1
stairs,1
sunglasses,1
table,1
television,1
waste container,1
whiteboard,1
scoreboard,1
auto part,1
popcorn,1
perfume,1
barrel,1
land vehicle,1
human body,1
goggles,1
food,1
fedora,1
envelope,1
cowboy hat,1
cosmetics,1
computer monitor,1
camera,1
bookcase,1
billboard,1
mobile phone,1
