object,count
poster,26
car,20
book,15
taxi,14
bus,14
building,9
bottle,8
clothing,7
person,6
woman,6
man,5
plant,4
toy,4
land vehicle,4
wine,4
bicycle,4
tableware,3
beaker,3
auto part,3
rose,3
boat,3
food,3
girl,3
kitchen appliance,2
snack,2
wheel,2
tire,2
train,2
truck,2
scoreboard,1
shelf,1
traffic sign,1
stairs,1
table,1
van,1
vehicle,1
ruler,1
airplane,1
remote control,1
refrigerator,1
bench,1
bookcase,1
boy,1
calculator,1
camera,1
cart,1
desk,1
digital clock,1
door,1
dress,1
fast food,1
flower,1
grape,1
insect,1
ipod,1
mobile phone,1
office supplies,1
zucchini,1
